ID,Type of Service,Category,Category Description,Category Label
1,Essential help,Housing,"Refuges, logements temporaires, allègement hypothécaire","Logement"
2,Essential help,Food,"Nourriture ou avantages alimentaires","Nourriture"
3,Essential help,Pets,"Animal de compagnie perdu ou trouvé, et plus","Animaux"
4,Essential help,Health,"Rester en bonne santé, santé mentale","Santé"
5,Essential help,Individual help,"Programmes d'aide étatiques et fédéraux (FEMA) pour les survivants de catastrophes","Aide individuelle"
6,Essential help,Personal documents,"Permis de conduire, actes de naissance, de décès et de mariage","Documents personnels"
7,Start recovering,Returning home,"Évaluations, nettoyage, enlèvement des débris","Retour à la maison"
8,Start recovering,Insurance,"Assurance habitation et réclamations d'assurance","Assurance"
9,Start recovering,Rebuilding,"Trouver un entrepreneur, vérifier une licence professionnelle","Reconstruction"
10,Start recovering,Employment,"Chômage, invalidité, trouver un emploi","Emploi"
11,Start recovering,Taxes,"Allègement pour les impôts sur le revenu et les taxes foncières","Impôts"
12,Business help,Support,"Aide financière, reprise, paiements de secours en cas de catastrophe, petites entreprises","Aide financière"
13,Business help,Tax help and relief,"Impôts sur le revenu, taxe de vente, taxes sur la paie","Impôts et aide"